Cycle ID	Cap_Chg(mAh)	Cap_DChg(mAh)	RCap_Chg(mAh/g)	RCap_DChg(mAh/g)	Efficiency(%)	Engy_Chg(mWh)	Engy_DChg(mWh)	Mid-value Voltage(mV)	CC_Chg_Cap(mAh)	CC_Chg_Rat(%)	Platform_Cap(mAh)	Platform_RCap(mAh/g)	Platform_Efficiency(%)	Platform_Time	Capacitance_Chg(F)	Capacitance_DChg(F)	rd(mO)	REngy_Chg(mWh/g)	REngy_DChg(mWh/g)	Energy Efficiency(%)	
	Step ID	Step Type	Step Time(H:M:S:ms)	Cap(mAh)	CmpCap(mAh/g)	Energy(mWh)	CmpEng(mWh/g)	Capacitance_Chg(F)	Start Vol(mV)	End Vol(mV)	Start Temperature(?)	End Temperature(?)	
		Record ID	Time(H:M:S:ms)	Vol(mV)	Cur(mA)	Temperature(?)	Cap(mAh)	CmpCap(mAh/g)	Energy(mWh)	CmpEng(mWh/g)	Realtime	
1	0.0001	0.0002	0.1458	0.1787	122.64	0.0000	0.0000	140.1	0.0000	0.00	0.0002	0.1787	100.00	0:01:05	0.0000	0.0000	0.0000	0.0388	0.0246	63.45%	
	1	Rest	0:01:45:000	0.0000	0.0000	0.0000	0.0000	0.0	111.2	108.8	0.0	0.0	
		1	0:00:00:000	111.2	0.0000	0.0	0.0000	0.0000	0.0000	0.0	2015-11-23 10:33:43	
		2	0:00:05:000	111.2	0.0000	0.0	0.0000	0.0000	0.0000	0.0	2015-11-23 10:33:47	
		3	0:00:10:000	111.2	0.0000	0.0	0.0000	0.0000	0.0000	0.0	2015-11-23 10:33:52	
		4	0:00:15:000	110.9	0.0000	0.0	0.0000	0.0000	0.0000	0.0	2015-11-23 10:33:57	
		5	0:00:20:000	110.9	0.0000	0.0	0.0000	0.0000	0.0000	0.0	2015-11-23 10:34:02	
		6	0:00:25:000	110.6	0.0000	0.0	0.0000	0.0000	0.0000	0.0	2015-11-23 10:34:07	
		7	0:00:30:000	110.6	0.0000	0.0	0.0000	0.0000	0.0000	0.0	2015-11-23 10:34:12	
		8	0:00:35:000	110.6	0.0000	0.0	0.0000	0.0000	0.0000	0.0	2015-11-23 10:34:17	
		9	0:00:40:000	110.3	0.0000	0.0	0.0000	0.0000	0.0000	0.0	2015-11-23 10:34:22	
		10	0:00:45:000	110.3	0.0000	0.0	0.0000	0.0000	0.0000	0.0	2015-11-23 10:34:27	
		11	0:00:50:000	110.0	0.0000	0.0	0.0000	0.0000	0.0000	0.0	2015-11-23 10:34:32	
		12	0:00:55:000	110.0	0.0000	0.0	0.0000	0.0000	0.0000	0.0	2015-11-23 10:34:37	
		13	0:01:00:000	110.0	0.0000	0.0	0.0000	0.0000	0.0000	0.0	2015-11-23 10:34:42	
		14	0:01:05:000	109.7	0.0000	0.0	0.0000	0.0000	0.0000	0.0	2015-11-23 10:34:47	
		15	0:01:10:000	109.7	0.0000	0.0	0.0000	0.0000	0.0000	0.0	2015-11-23 10:34:52	
		16	0:01:15:000	109.4	0.0000	0.0	0.0000	0.0000	0.0000	0.0	2015-11-23 10:34:57	
		17	0:01:20:000	109.4	0.0000	0.0	0.0000	0.0000	0.0000	0.0	2015-11-23 10:35:02	
		18	0:01:25:000	109.4	0.0000	0.0	0.0000	0.0000	0.0000	0.0	2015-11-23 10:35:07	
		19	0:01:30:000	109.1	0.0000	0.0	0.0000	0.0000	0.0000	0.0	2015-11-23 10:35:12	
		20	0:01:35:000	109.1	0.0000	0.0	0.0000	0.0000	0.0000	0.0	2015-11-23 10:35:17	
		21	0:01:40:000	108.8	0.0000	0.0	0.0000	0.0000	0.0000	0.0	2015-11-23 10:35:22	
		22	0:01:45:000	108.8	0.0000	0.0	0.0000	0.0000	0.0000	0.0	2015-11-23 10:35:27	
	2	CC_Chg	0:00:53:000	0.0001	0.1458	0.0000	0.0388	0.0	138.2	402.0	0.0	0.0	
		23	0:00:00:000	138.2	0.0099	0.0	0.0000	0.0000	0.0000	0.0	2015-11-23 10:35:30	
		24	0:00:05:000	150.3	0.0099	0.0	0.0000	0.0138	0.0000	0.0	2015-11-23 10:35:33	
		25	0:00:10:000	185.0	0.0099	0.0	0.0000	0.0275	0.0000	0.0	2015-11-23 10:35:38	
		26	0:00:15:000	212.9	0.0099	0.0	0.0000	0.0413	0.0000	0.0	2015-11-23 10:35:43	
		27	0:00:20:000	238.4	0.0099	0.0	0.0001	0.0550	0.0000	0.0	2015-11-23 10:35:48	
		28	0:00:25:000	262.8	0.0099	0.0	0.0001	0.0688	0.0000	0.0	2015-11-23 10:35:53	
		29	0:00:30:000	287.3	0.0099	0.0	0.0001	0.0825	0.0000	0.0	2015-11-23 10:35:58	
		30	0:00:35:000	311.5	0.0099	0.0	0.0001	0.0962	0.0000	0.0	2015-11-23 10:36:03	
		31	0:00:40:000	336.0	0.0099	0.0	0.0001	0.1100	0.0000	0.0	2015-11-23 10:36:08	
		32	0:00:45:000	360.2	0.0099	0.0	0.0001	0.1238	0.0000	0.0	2015-11-23 10:36:13	
		33	0:00:50:000	384.4	0.0099	0.0	0.0001	0.1375	0.0000	0.0	2015-11-23 10:36:18	
		34	0:00:53:000	402.0	0.0099	0.0	0.0001	0.1458	0.0000	0.0	2015-11-23 10:36:21	
	3	CC_DChg	0:01:05:000	0.0002	0.1787	0.0000	0.0246	0.0	345.9	-3.7	0.0	0.0	
		35	0:00:00:000	345.9	-0.0099	0.0	0.0000	0.0000	0.0000	0.0	2015-11-23 10:36:23	
		36	0:00:05:000	324.2	-0.0099	0.0	0.0000	0.0138	0.0000	0.0	2015-11-23 10:36:26	
		37	0:00:10:000	270.3	-0.0099	0.0	0.0000	0.0275	0.0000	0.0	2015-11-23 10:36:31	
		38	0:00:15:000	231.2	-0.0099	0.0	0.0000	0.0413	0.0000	0.0	2015-11-23 10:36:36	
		39	0:00:20:000	198.1	-0.0099	0.0	0.0001	0.0550	0.0000	0.0	2015-11-23 10:36:41	
		40	0:00:25:000	168.0	-0.0099	0.0	0.0001	0.0688	0.0000	0.0	2015-11-23 10:36:46	
		41	0:00:30:000	140.1	-0.0099	0.0	0.0001	0.0825	0.0000	0.0	2015-11-23 10:36:51	
		42	0:00:35:000	114.7	-0.0099	0.0	0.0001	0.0962	0.0000	0.0	2015-11-23 10:36:56	
		43	0:00:40:000	90.8	-0.0099	0.0	0.0001	0.1100	0.0000	0.0	2015-11-23 10:37:01	
		44	0:00:45:000	74.0	-0.0099	0.0	0.0001	0.1238	0.0000	0.0	2015-11-23 10:37:06	
		45	0:00:50:000	53.3	-0.0099	0.0	0.0001	0.1375	0.0000	0.0	2015-11-23 10:37:11	
		46	0:00:55:000	34.1	-0.0099	0.0	0.0002	0.1513	0.0000	0.0	2015-11-23 10:37:16	
		47	0:01:00:000	16.7	-0.0099	0.0	0.0002	0.1650	0.0000	0.0	2015-11-23 10:37:21	
		48	0:01:05:000	0.3	-0.0099	0.0	0.0002	0.1787	0.0000	0.0	2015-11-23 10:37:26	
		49	0:01:05:000	-3.7	-0.0099	0.0	0.0002	0.1787	0.0000	0.0	2015-11-23 10:37:26	
2	0.0002	0.0002	0.1925	0.1760	91.44	0.0000	0.0000	141.3	0.0000	0.00	0.0002	0.1760	100.00	0:01:04	0.0000	0.0000	0.0000	0.0451	0.0243	53.82%	
	4	CC_Chg	0:01:10:000	0.0002	0.1925	0.0000	0.0451	0.0	48.0	402.4	0.0	0.0	
		50	0:00:00:000	48.0	0.0099	0.0	0.0000	0.0000	0.0000	0.0	2015-11-23 10:37:28	
		51	0:00:05:000	65.7	0.0099	0.0	0.0000	0.0138	0.0000	0.0	2015-11-23 10:37:31	
		52	0:00:10:000	110.9	0.0099	0.0	0.0000	0.0275	0.0000	0.0	2015-11-23 10:37:36	
		53	0:00:15:000	142.6	0.0099	0.0	0.0000	0.0413	0.0000	0.0	2015-11-23 10:37:41	
		54	0:00:20:000	169.8	0.0099	0.0	0.0001	0.0550	0.0000	0.0	2015-11-23 10:37:46	
		55	0:00:25:000	194.3	0.0099	0.0	0.0001	0.0688	0.0000	0.0	2015-11-23 10:37:51	
		56	0:00:30:000	217.6	0.0099	0.0	0.0001	0.0825	0.0000	0.0	2015-11-23 10:37:56	
		57	0:00:35:000	240.8	0.0099	0.0	0.0001	0.0962	0.0000	0.0	2015-11-23 10:38:01	
		58	0:00:40:000	263.8	0.0099	0.0	0.0001	0.1100	0.0000	0.0	2015-11-23 10:38:06	
		59	0:00:45:000	287.0	0.0099	0.0	0.0001	0.1238	0.0000	0.0	2015-11-23 10:38:11	
		60	0:00:50:000	310.0	0.0099	0.0	0.0001	0.1375	0.0000	0.0	2015-11-23 10:38:16	
		61	0:00:55:000	333.2	0.0099	0.0	0.0002	0.1513	0.0000	0.0	2015-11-23 10:38:21	
		62	0:01:00:000	356.5	0.0099	0.0	0.0002	0.1650	0.0000	0.0	2015-11-23 10:38:26	
		63	0:01:05:000	373.8	0.0099	0.0	0.0002	0.1787	0.0000	0.0	2015-11-23 10:38:31	
		64	0:01:10:000	396.8	0.0099	0.0	0.0002	0.1925	0.0000	0.0	2015-11-23 10:38:36	
		65	0:01:10:000	402.4	0.0099	0.0	0.0002	0.1925	0.0000	0.0	2015-11-23 10:38:36	
	5	CC_DChg	0:01:04:000	0.0002	0.1760	0.0000	0.0243	0.0	345.9	-0.3	0.0	0.0	
		66	0:00:00:000	345.9	-0.0099	0.0	0.0000	0.0000	0.0000	0.0	2015-11-23 10:38:38	
		67	0:00:05:000	306.9	-0.0099	0.0	0.0000	0.0138	0.0000	0.0	2015-11-23 10:38:41	
		68	0:00:10:000	258.5	-0.0099	0.0	0.0000	0.0275	0.0000	0.0	2015-11-23 10:38:46	
		69	0:00:15:000	221.6	-0.0099	0.0	0.0000	0.0413	0.0000	0.0	2015-11-23 10:38:51	
		70	0:00:20:000	190.0	-0.0099	0.0	0.0001	0.0550	0.0000	0.0	2015-11-23 10:38:56	
		71	0:00:25:000	168.6	-0.0099	0.0	0.0001	0.0688	0.0000	0.0	2015-11-23 10:39:01	
		72	0:00:30:000	141.3	-0.0099	0.0	0.0001	0.0825	0.0000	0.0	2015-11-23 10:39:06	
